product,game_variant,prize_tier,winning_rule,prize_value_vnd,details_json,source_url
bingo18,tabSelNumberInfo,Kết quả quay số có ít nhất hai số 5,Kết quả quay số có ít nhất hai số 5,7500088,"{""columns"":{""Giá trị trúng thưởng"":""75.000 ( Số lượng: 88 )"",""Xác định kết quả"":""Kết quả quay số có ít nhất hai số 5""},""row_index"":4,""table_index"":3}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171707
bingo18,tabSelNumberInfo,Kết quả quay số có ít nhất hai số 6,Kết quả quay số có ít nhất hai số 6,75000,"{""columns"":{""Giá trị trúng thưởng"":""75.000"",""Xác định kết quả"":""Kết quả quay số có ít nhất hai số 6""},""row_index"":5,""table_index"":3}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171700
bingo18,tabSelNumberInfo,Kết quả quay số có ít nhất hai số 6,Kết quả quay số có ít nhất hai số 6,7500014,"{""columns"":{""Giá trị trúng thưởng"":""75.000 ( Số lượng: 14 )"",""Xác định kết quả"":""Kết quả quay số có ít nhất hai số 6""},""row_index"":5,""table_index"":3}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171708
bingo18,tabSelNumberInfo,Kết quả quay số có ít nhất hai số 6,Kết quả quay số có ít nhất hai số 6,7500046,"{""columns"":{""Giá trị trúng thưởng"":""75.000 ( Số lượng: 46 )"",""Xác định kết quả"":""Kết quả quay số có ít nhất hai số 6""},""row_index"":5,""table_index"":3}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171702
bingo18,tabSelNumberInfo,Kết quả quay số có ít nhất hai số 6,Kết quả quay số có ít nhất hai số 6,7500065,"{""columns"":{""Giá trị trúng thưởng"":""75.000 ( Số lượng: 65 )"",""Xác định kết quả"":""Kết quả quay số có ít nhất hai số 6""},""row_index"":5,""table_index"":3}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171701
bingo18,tabSelNumberInfo,Kết quả quay số có ít nhất hai số 6,Kết quả quay số có ít nhất hai số 6,7500073,"{""columns"":{""Giá trị trúng thưởng"":""75.000 ( Số lượng: 73 )"",""Xác định kết quả"":""Kết quả quay số có ít nhất hai số 6""},""row_index"":5,""table_index"":3}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171703
bingo18,tabSelNumberInfo,Tổng kết quả ba lần quay số là 10,Tổng kết quả ba lần quay số là 10,44000,"{""columns"":{""Giá trị trúng thưởng"":""44.000"",""Xác định kết quả"":""Tổng kết quả ba lần quay số là 10""},""row_index"":7,""table_index"":5}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171700
bingo18,tabSelNumberInfo,Tổng kết quả ba lần quay số là 10,Tổng kết quả ba lần quay số là 10,4400049,"{""columns"":{""Giá trị trúng thưởng"":""44.000 ( Số lượng: 49 )"",""Xác định kết quả"":""Tổng kết quả ba lần quay số là 10""},""row_index"":7,""table_index"":5}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171718
bingo18,tabSelNumberInfo,Tổng kết quả ba lần quay số là 10,Tổng kết quả ba lần quay số là 10,4400098,"{""columns"":{""Giá trị trúng thưởng"":""44.000 ( Số lượng: 98 )"",""Xác định kết quả"":""Tổng kết quả ba lần quay số là 10""},""row_index"":7,""table_index"":5}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171727
bingo18,tabSelNumberInfo,Tổng kết quả ba lần quay số là 10,Tổng kết quả ba lần quay số là 10,44000254,"{""columns"":{""Giá trị trúng thưởng"":""44.000 ( Số lượng: 254 )"",""Xác định kết quả"":""Tổng kết quả ba lần quay số là 10""},""row_index"":7,""table_index"":5}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171729
