date,venue_id,venue_name,address,requested_latitude,requested_longitude,grid_latitude,grid_longitude,temperature_2m_mean,temperature_2m_min,temperature_2m_max,relative_humidity_2m_mean,weather_model,source
2016-10-30,lac_trung,Trung tâm QSMT tại VTC,"Tầng 19, tòa nhà VTC, số 23 Lạc Trung, Hà Nội",21.0023039,105.8640524,21.0,105.899994,19.9,18.4,21.7,83,ERA5-Land,open-meteo
2016-10-31,lac_trung,Trung tâm QSMT tại VTC,"Tầng 19, tòa nhà VTC, số 23 Lạc Trung, Hà Nội",21.0023039,105.8640524,21.0,105.899994,20.7,19.5,22.5,88,ERA5-Land,open-meteo
2016-11-01,lac_trung,Trung tâm QSMT tại VTC,"Tầng 19, tòa nhà VTC, số 23 Lạc Trung, Hà Nội",21.0023039,105.8640524,21.0,105.899994,20.3,18.8,22.1,77,ERA5-Land,open-meteo
2016-11-02,lac_trung,Trung tâm QSMT tại VTC,"Tầng 19, tòa nhà VTC, số 23 Lạc Trung, Hà Nội",21.0023039,105.8640524,21.0,105.899994,20.8,19.7,22.4,65,ERA5-Land,open-meteo
2016-11-03,lac_trung,Trung tâm QSMT tại VTC,"Tầng 19, tòa nhà VTC, số 23 Lạc Trung, Hà Nội",21.0023039,105.8640524,21.0,105.899994,21.4,18.5,25.2,66,ERA5-Land,open-meteo
2016-11-04,lac_trung,Trung tâm QSMT tại VTC,"Tầng 19, tòa nhà VTC, số 23 Lạc Trung, Hà Nội",21.0023039,105.8640524,21.0,105.899994,21.3,16.7,25.9,77,ERA5-Land,open-meteo
2016-11-05,lac_trung,Trung tâm QSMT tại VTC,"Tầng 19, tòa nhà VTC, số 23 Lạc Trung, Hà Nội",21.0023039,105.8640524,21.0,105.899994,22.7,17.7,27.9,80,ERA5-Land,open-meteo
2016-11-06,lac_trung,Trung tâm QSMT tại VTC,"Tầng 19, tòa nhà VTC, số 23 Lạc Trung, Hà Nội",21.0023039,105.8640524,21.0,105.899994,24.1,20.2,28.3,86,ERA5-Land,open-meteo
2016-11-07,lac_trung,Trung tâm QSMT tại VTC,"Tầng 19, tòa nhà VTC, số 23 Lạc Trung, Hà Nội",21.0023039,105.8640524,21.0,105.899994,24.8,23.1,27.3,88,ERA5-Land,open-meteo
2016-11-08,lac_trung,Trung tâm QSMT tại VTC,"Tầng 19, tòa nhà VTC, số 23 Lạc Trung, Hà Nội",21.0023039,105.8640524,21.0,105.899994,20.5,17.0,23.9,87,ERA5-Land,open-meteo
2016-11-09,lac_trung,Trung tâm QSMT tại VTC,"Tầng 19, tòa nhà VTC, số 23 Lạc Trung, Hà Nội",21.0023039,105.8640524,21.0,105.899994,15.7,15.2,16.9,83,ERA5-Land,open-meteo
2016-11-10,lac_trung,Trung tâm QSMT tại VTC,"Tầng 19, tòa nhà VTC, số 23 Lạc Trung, Hà Nội",21.0023039,105.8640524,21.0,105.899994,14.9,14.2,15.5,80,ERA5-Land,open-meteo
2016-11-11,lac_trung,Trung tâm QSMT tại VTC,"Tầng 19, tòa nhà VTC, số 23 Lạc Trung, Hà Nội",21.0023039,105.8640524,21.0,105.899994,17.7,14.8,21.2,75,ERA5-Land,open-meteo
